Timestamp,Location,Family member,Age,Male members,Female members,Building age,Land size,Male guest room,Female guest room,Living room,Outside room,,total family members ,,,,
2019/05/24 7:46:08 pm GMT-6,2.00,2.00,33.00,1.00,1.00,2016.00,700.00,3.00,6.00,360.00,52.00,,2.00,,,,
2019/05/25 8:29:41 am GMT-6,2.00,2.00,33.00,0.00,0.00,2019.00,250.00,20.00,0.00,360.00,0.00,,0.00,,,,
2019/05/25 5:42:02 pm GMT-6,2.00,2.00,33.00,5.00,5.00,1990.00,1000.00,30.00,70.00,300.00,10.00,,10.00,,,,
2019/05/22 12:27:02 pm GMT-6,2.00,1.00,34.00,1.00,3.00,2014.00,375.00,10.00,10.00,360.00,0.00,,4.00,,,,
2019/05/24 11:41:52 am GMT-6,2.00,1.00,34.00,2.00,2.00,2018.00,150.00,1.00,0.00,360.00,0.00,,4.00,,,,
2019/05/24 12:48:58 pm GMT-6,4.00,1.00,34.00,4.00,4.00,2014.00,1100.00,4.00,0.00,360.00,360.00,,8.00,,,,
2019/05/24 3:22:03 pm GMT-6,2.00,2.00,34.00,2.00,2.00,2015.00,180.00,10.00,0.00,300.00,0.00,,4.00,,,,
2019/05/24 6:04:11 pm GMT-6,5.00,1.00,34.00,4.00,2.00,2010.00,625.00,1.00,12.00,12.00,360.00,,6.00,,,,
2019/05/24 6:44:10 pm GMT-6,1.00,2.00,34.00,1.00,1.00,2009.00,500.00,45.00,100.00,360.00,30.00,,2.00,,,,
2019/05/24 6:46:19 pm GMT-6,5.00,2.00,34.00,3.00,6.00,1989.00,2000.00,300.00,12.00,360.00,0.00,,9.00,,,,
2019/05/24 9:19:35 pm GMT-6,2.00,1.00,34.00,6.00,4.00,2014.00,800.00,52.00,0.00,360.00,360.00,,10.00,,,,
2019/05/26 4:35:32 am GMT-6,4.00,2.00,34.00,1.00,2.00,1992.00,500.00,12.00,8.00,360.00,0.00,,3.00,,,,
2019/05/22 11:47:52 am GMT-6,2.00,2.00,35.00,0.00,2.00,2017.00,600.00,2.00,2.00,360.00,360.00,,2.00,,,,
